Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_4_R1,2.82163,158.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_5_R1,2.81288,152.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_1_R1,2.74705,198.145
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_6_R4,2.70048,243.301
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_2_R4,2.69627,158.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_4_R2,2.66287,160.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_2_R6,2.63952,111.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_6_R6,2.62292,100.368
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_6_R6,2.6014,89.0703
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_3_R5,2.57238,184.556
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_3_R4,2.55439,107.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_5_R2,2.50909,268.229
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_5_R3,2.48332,116.557
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_5_R2,2.47414,181.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_2_R1,2.46584,180.846
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_4_R3,2.42962,169.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_5_R4,2.37075,99.1967
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_2_R2,2.3601,96.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_4_R6,2.34433,78.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_1_R1,2.34393,105.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_6_R6,2.33594,57.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_5_R3,2.30764,67.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_3_R2,2.29872,157.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_1_R1,2.25452,113.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_4_R1,2.24775,147.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_5_R1,2.23504,127.274
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_4_R3,2.19166,283.92
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_2_R6,2.18331,109.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_5_R1,2.15272,203.271
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_2_R2,2.13578,81.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_5_R3,2.12352,72.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_5_R4,2.12339,93.0015
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_6_R5,2.11559,107.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_3_R6,2.11117,167.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_6_R3,2.06304,96.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_2_R5,2.05786,99.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_5_R5,1.99738,55.4419
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_5_R3,1.98525,65.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_3_R4,1.97561,96.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_3_R3,1.96843,67.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_2_R4,1.96266,103.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_2_R2,1.95716,66.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_3_R3,1.9408,76.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_3_R4,1.93398,134.32
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_4_R6,1.91789,56.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_4_R1,1.90407,126.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_3_R1,1.88661,110.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_2_R1,1.87855,102.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_2_R3,1.84739,75.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_1_R2,1.83988,79.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_2_R5,1.8234,82.0
Ec_actinula_t.18330..702-1931,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.18330,702-1931,STG_1_R4,1.77507,112.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_3_R3,1.76146,70.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_6_R6,1.76017,69.3899
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_2_R4,1.66673,104.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_2_R5,1.65764,67.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_1_R3,1.65218,115.04
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_6_R3,1.62353,72.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_1_R1,1.61489,85.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_6_R4,1.60664,119.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_3_R2,1.57825,128.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_3_R5,1.57242,85.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_3_R6,1.54366,114.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_6_R5,1.50469,111.304
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_5_R6,1.49013,43.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_6_R6,1.46995,42.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_2_R3,1.44922,50.0
Ec_actinula_t.48494..525-1,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48494,525-1,STG_3_R1,1.43207,19.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_5_R5,1.40959,29.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_2_R1,1.40821,73.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_1_R3,1.40215,62.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_4_R6,1.39772,42.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_3_R1,1.37925,133.361
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_3_R2,1.35012,90.0794
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_3_R2,1.33423,110.0
Ec_actinula_t.18330..702-1931,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.18330,702-1931,STG_6_R3,1.32814,68.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_6_R3,1.32599,101.003
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_5_R4,1.32565,38.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_4_R6,1.31785,45.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_6_R6,1.29988,37.0
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_3_R5,1.2784,50.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_3_R3,1.27671,73.3651
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_4_R2,1.27332,78.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_6_R5,1.26903,56.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_6_R3,1.26835,66.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_1_R2,1.25713,77.771
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_3_R6,1.23621,75.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_6_R2,1.21419,48.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_5_R5,1.18141,37.4533
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_1_R3,1.16768,60.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_6_R2,1.1361,64.0652
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_6_R2,1.1312,38.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_4_R1,1.10666,68.0
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_5_R2,1.08168,64.3275
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_4_R3,1.07556,74.3115
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_1_R5,1.07427,46.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_6_R1,1.06774,33.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_6_R2,1.06219,36.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_3_R3,1.05851,37.0
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_3_R1,1.03318,50.0
Ec_actinula_t.746..1346-1035,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.746,1346-1035,STG_3_R2,1.02355,121.843
Ec_actinula_t.19697..788-207,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.19697,788-207,STG_3_R3,1.02062,12.0
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_4_R2,1.02021,51.0
Ec_actinula_t.48494..525-1,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48494,525-1,STG_4_R2,1.01482,14.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_2_R6,1.00488,47.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_5_R2,0.993447,67.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_4_R6,0.966499,46.112
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_4_R2,0.920623,49.5768
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_3_R1,0.90511,53.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_5_R4,0.90124,30.0
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_3_R6,0.895555,58.2962
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_4_R1,0.890898,48.2852
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_4_R5,0.87534,59.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_1_R4,0.852147,54.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_6_R1,0.850339,21.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_5_R6,0.840598,27.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_1_R5,0.83377,31.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_4_R1,0.830344,50.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_3_R3,0.81938,30.0
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_4_R4,0.818685,55.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_1_R1,0.811991,66.3702
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_5_R1,0.810856,41.8929
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_5_R5,0.80628,26.4171
Ec_actinula_t.48494..525-1,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48494,525-1,STG_6_R3,0.804445,9.0
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_2_R3,0.80331,25.0
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_4_R3,0.801234,51.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_3_R2,0.792594,60.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_5_R1,0.789592,47.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_3_R2,0.789073,96.7797
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_2_R1,0.788674,37.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_1_R6,0.784008,47.0
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_2_R2,0.779112,25.7351
Ec_actinula_t.26880..54-1661,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.26880,54-1661,STG_3_R3,0.770604,24.5629
Ec_actinula_t.746..1346-1035,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.746,1346-1035,STG_4_R1,0.770043,71.9003
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_5_R6,0.762496,22.0
Ec_actinula_t.746..1346-1035,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.746,1346-1035,STG_2_R2,0.76226,47.1197
Ec_actinula_t.19697..788-207,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.19697,788-207,STG_5_R2,0.75923,17.0
Ec_actinula_t.746..1346-1035,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.746,1346-1035,STG_1_R5,0.741509,46.8267
Ec_actinula_t.746..1346-1035,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.746,1346-1035,STG_4_R2,0.736859,69.3456
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_2_R2,0.735175,27.0
Ec_actinula_t.48126..182-1558,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.48126,182-1558,STG_5_R2,0.731516,41.0
